C,MN,SI,S,CR,NI,MO,AL,TI,V,B,W,CO,H2,N,O2,Ladle_No.,Ladle_Life,LF Chamber Out Temp,Casting Temp,Liquidus Temp,Super-heat,Cast Time,Casting Speed,Defect
0.412,0.86,0.34,0.011,1.15,0.34,0.183,0.012,0.003,0.085,0.0002,0.001,0.009,1.38,55,0,9,3,1545,1545,1490,55,30,2.12,1
0.412,0.86,0.34,0.011,1.15,0.34,0.183,0.012,0.003,0.085,0.0002,0.001,0.009,1.38,55,0,9,3,1545,1545,1490,55,30,2.22,1
0.399,0.88,0.38,0.013,1.17,0.36,0.187,0.016,0.002,0.081,0.0002,0.002,0.008,1.36,39,0,4,25,1542,1542,1490,52,25,2.16,0
0.399,0.88,0.38,0.013,1.17,0.36,0.187,0.016,0.002,0.081,0.0002,0.002,0.008,1.36,39,0,4,25,1542,1542,1490,52,25,2.24,0
0.422,0.84,0.39,0.011,1.15,0.33,0.189,0.012,0.002,0.085,0.0002,0.001,0.008,1.36,53,0,10,8,1543,1543,1490,53,30,2.12,1
0.422,0.84,0.39,0.011,1.15,0.33,0.189,0.012,0.002,0.085,0.0002,0.001,0.008,1.36,53,0,10,8,1543,1543,1490,53,30,2.49,1
0.412,0.85,0.37,0.013,1.13,0.33,0.189,0.012,0.002,0.085,0.0002,0.001,0.008,1.45,55,0,11,9,1548,1548,1490,58,35,2.36,1
0.412,0.85,0.37,0.013,1.13,0.33,0.189,0.012,0.002,0.085,0.0002,0.001,0.008,1.45,55,0,11,9,1548,1548,1490,58,35,2.43,1
0.423,0.88,0.38,0.008,1.17,0.32,0.168,0.016,0.002,0.082,0.0002,0.002,0.009,1.39,52,0,11,12,1537,1537,1490,47,30,2.34,1
0.423,0.88,0.38,0.008,1.17,0.32,0.168,0.016,0.002,0.082,0.0002,0.002,0.009,1.39,52,0,11,12,1537,1537,1490,47,30,2.44,1
0.386,0.87,0.34,0.009,1.16,0.35,0.191,0.014,0.002,0.101,0.0001,0.001,0.008,1.43,52,0,3,8,1543,1543,1490,53,30,2.19,1
